Ticker,Type,File
KKR,STOCK,KKR_1h.csv
KMB,STOCK,KMB_1h.csv
KO,STOCK,KO_1h.csv
KR,STOCK,KR_1h.csv
LINK-USD,CRYPTO,LINK-USD_1h.csv
LI,STOCK,LI_1h.csv
LLY,STOCK,LLY_1d.csv
LLY,STOCK,LLY_1h.csv
LMND,STOCK,LMND_1h.csv
LMT,STOCK,LMT_1h.csv
LOW,STOCK,LOW_1h.csv
LTC-USD,CRYPTO,LTC-USD_1h.csv
LULU,STOCK,LULU_1h.csv
LUV,STOCK,LUV_1h.csv
LVS,STOCK,LVS_1h.csv
LW,STOCK,LW_1h.csv
LYB,STOCK,LYB_1h.csv
LYV,STOCK,LYV_1h.csv
MANA-USD,CRYPTO,MANA-USD_1h.csv
MARA,STOCK,MARA_1h.csv
MAR,STOCK,MAR_1h.csv
MATIC-USD,CRYPTO,MATIC-USD_1h.csv
MA,STOCK,MA_1h.csv
MCD,STOCK,MCD_1h.csv
MCO,STOCK,MCO_1h.csv
MELI,STOCK,MELI_1h.csv
META,STOCK,META_1h.csv
MFC,STOCK,MFC_1h.csv
MKC,STOCK,MKC_1h.csv
MKR-USD,CRYPTO,MKR-USD_1h.csv
MMC,STOCK,MMC_1h.csv
MMM,STOCK,MMM_1h.csv
MNST,STOCK,MNST_1h.csv
MRK,STOCK,MRK_1h.csv
MSCI,STOCK,MSCI_1h.csv
MSFT,STOCK,MSFT_1h.csv
MSI,STOCK,MSI_1h.csv
MSTR,STOCK,MSTR_1h.csv
MS,STOCK,MS_1h.csv
MTB,STOCK,MTB_1h.csv
MU,STOCK,MU_1h.csv
NDAQ,STOCK,NDAQ_1h.csv
NEAR-USD,CRYPTO,NEAR-USD_1h.csv
NEE,STOCK,NEE_1h.csv
NEM,STOCK,NEM_1h.csv
NFLX,STOCK,NFLX_1h.csv
NLY,STOCK,NLY_1h.csv
NRG,STOCK,NRG_1h.csv
NTES,STOCK,NTES_1h.csv
NUE,STOCK,NUE_1h.csv
NU,STOCK,NU_1h.csv
NVDA,STOCK,NVDA_1h.csv
NVO,STOCK,NVO_1h.csv
NVS,STOCK,NVS_1h.csv
OMC,STOCK,OMC_1h.csv
OPEN,STOCK,OPEN_1h.csv
OXY,STOCK,OXY_1h.csv
O,STOCK,O_1h.csv
PAXG-USD,CRYPTO,PAXG-USD_1h.csv
PAYC,STOCK,PAYC_1h.csv
PAYX,STOCK,PAYX_1h.csv
PGR,STOCK,PGR_1h.csv
PG,STOCK,PG_1h.csv
PINS,STOCK,PINS_1h.csv
PLD,STOCK,PLD_1h.csv
PLTR,STOCK,PLTR_1h.csv
PM,STOCK,PM_1h.csv
PPG,STOCK,PPG_1h.csv
PRU,STOCK,PRU_1h.csv
PSA,STOCK,PSA_1h.csv
PSEC,STOCK,PSEC_1h.csv
PUK,STOCK,PUK_1h.csv
QCOM,STOCK,QCOM_1h.csv
RACE,STOCK,RACE_1h.csv
RCL,STOCK,RCL_1h.csv
RIOT,STOCK,RIOT_1h.csv
RJF,STOCK,RJF_1h.csv
RTX,STOCK,RTX_1h.csv
RYAAY,STOCK,RYAAY_1h.csv
RY,STOCK,RY_1h.csv
SAND-USD,CRYPTO,SAND-USD_1h.csv
SAN,STOCK,SAN_1h.csv
SBSW,STOCK,SBSW_1h.csv
SCCO,STOCK,SCCO_1h.csv
SCHW,STOCK,SCHW_1h.csv
SEZL,STOCK,SEZL_1h.csv
SHY,STOCK,SHY_1h.csv
SLV,STOCK,SLV_1h.csv
SMCI,STOCK,SMCI_1h.csv
SNX-USD,CRYPTO,SNX-USD_1h.csv
SOFI,STOCK,SOFI_1h.csv
SOL-USD,CRYPTO,SOL-USD_1h.csv
SONY,STOCK,SONY_1h.csv
SOUN,STOCK,SOUN_1h.csv
SO,STOCK,SO_1h.csv
SPGI,STOCK,SPGI_1h.csv
SPG,STOCK,SPG_1h.csv
SPY,STOCK,SPY_1d.csv
STM,STOCK,STM_1h.csv
TCPC,STOCK,TCPC_1h.csv
TD,STOCK,TD_1h.csv
TJX,STOCK,TJX_1h.csv
TLT,STOCK,TLT_1d.csv
TLT,STOCK,TLT_1h.csv
TMO,STOCK,TMO_1h.csv
TM,STOCK,TM_1h.csv
TPR,STOCK,TPR_1h.csv
TRI,STOCK,TRI_1h.csv
TROW,STOCK,TROW_1h.csv
TRX-USD,CRYPTO,TRX-USD_1h.csv
TSCO,STOCK,TSCO_1h.csv
TSLA,STOCK,TSLA_1h.csv
TSM,STOCK,TSM_1d.csv
TSM,STOCK,TSM_1h.csv
TWLO,STOCK,TWLO_1h.csv
TXN,STOCK,TXN_1h.csv
UBER,STOCK,UBER_1h.csv
ULTA,STOCK,ULTA_1h.csv
UNH,STOCK,UNH_1h.csv
UNI-USD,CRYPTO,UNI-USD_1h.csv
UNP,STOCK,UNP_1h.csv
UPST,STOCK,UPST_1h.csv
UPWK,STOCK,UPWK_1h.csv
USB,STOCK,USB_1h.csv
UUP,STOCK,UUP_1h.csv
VET-USD,CRYPTO,VET-USD_1h.csv
VNQ,STOCK,VNQ_1h.csv
VST,STOCK,VST_1h.csv
VTIP,STOCK,VTIP_1h.csv
V,STOCK,V_1h.csv
WFC,STOCK,WFC_1h.csv
WMG,STOCK,WMG_1h.csv
WMT,STOCK,WMT_1h.csv
WM,STOCK,WM_1h.csv
WPM,STOCK,WPM_1h.csv
WSM,STOCK,WSM_1h.csv
WULF,STOCK,WULF_1h.csv
WU,STOCK,WU_1h.csv
XLF,STOCK,XLF_1h.csv
XLM-USD,CRYPTO,XLM-USD_1h.csv
XLP,STOCK,XLP_1h.csv
XOM,STOCK,XOM_1h.csv
XPEV,STOCK,XPEV_1h.csv
XRP-USD,CRYPTO,XRP-USD_1h.csv
ZTS,STOCK,ZTS_1h.csv
